lon,lat,time
-13.56405108805314,14.460916436724524,11:14:30.3555562Z
-13.883649483765604,13.016993993652793,11:14:54.2613312Z
-14.200652109884112,11.572558830809447,11:15:18.1682354Z
-14.51552745225779,10.127982376441135,11:15:42.0765632Z
-42.01827037837964,-2.885845630617688,12:58:10.3249455Z
-42.327144256849145,-4.3350635675703835,12:58:34.2461870Z
-42.63609780131193,-5.779892914067707,12:58:58.1689854Z
-42.94564259038917,-7.224420271314231,12:59:22.0931746Z
-43.25790693164414,-8.672815747627023,12:59:46.0188187Z
-43.570146862192885,-10.116794547902902,13:00:09.9459010Z
-43.88591547074063,-11.564356164261191,13:00:33.8745706Z
-44.20221014952631,-13.007250396632308,13:00:57.8046847Z
-44.521571134189365,-14.44981828223412,13:01:21.7363393Z
-44.844770967630424,-15.89594237645213,13:01:45.6694966Z
-45.17025812673801,-17.337311021810155,13:02:09.6040055Z
-45.499874795010456,-18.78236473714687,13:02:33.5403083Z
-45.83243188714506,-20.222605505248126,13:02:57.4778231Z
-46.17072299213836,-21.666184743863145,13:03:21.4170502Z
-46.51183420370176,-23.104945734243213,13:03:45.3575701Z
